,loss,f1,acc
0,0.12379657477140427,0.9508763053366528,0.9567111605487579
1,0.10747068375349045,0.9575595801962937,0.9614154616240267
2,0.09551598131656647,0.9615450020711972,0.9652623285131627
3,0.0824018344283104,0.966311851895354,0.9691555431961438
4,0.07438939809799194,0.9696741651405618,0.9721565628476084
5,0.06918665021657944,0.9709438600111048,0.9734427141268076
6,0.06482908874750137,0.9722281234882297,0.9746245828698554
7,0.053887877613306046,0.9773569773996017,0.9792477753058955
8,0.047656506299972534,0.9804951918712173,0.9820518168335187
9,0.04014451801776886,0.9832836790595547,0.9844387282165369
10,0.035923853516578674,0.985521617222978,0.9864664441972563
11,0.03509284555912018,0.985815637304009,0.9866518353726362
12,0.027845587581396103,0.9901706664741122,0.9903248980348536
13,0.02431299351155758,0.9923414668417824,0.9923873748609566
14,0.021210286766290665,0.9933371450825719,0.9933838524286244
15,0.019127245992422104,0.9945672117502079,0.9945773081201335
16,0.01721532829105854,0.9950880088754603,0.9951103077493512
17,0.016002556309103966,0.9957158477119755,0.9957244160177976
18,0.015321273356676102,0.9960805081930807,0.9960951983685576
19,0.014890570193529129,0.9962686534749972,0.9962805895439377
