,train_loss,test_loss
0,-1.3962305991781023,-1.3963198660124603
1,-1.1485805982608057,-1.1486693432986967
2,-0.9816993606443091,-0.981897303738112
3,-0.8636996518859617,-0.8638053912854439
4,-0.7683349806450429,-0.7685228692431314
5,-0.6960135438834667,-0.6965796405809704
6,-0.637185539278638,-0.6377286786720676
7,-0.5887139846444559,-0.5899535229861967
8,-0.5462945232809863,-0.5478270968403267
9,-0.5093199048763484,-0.5119061337343696
10,-0.47762369743890803,-0.4805819198001057
11,-0.4522898301625449,-0.4551713868907406
12,-0.4266443400510017,-0.43095150175292796
13,-0.40800223705694577,-0.4128514283473494
14,-0.38885192311220373,-0.3941748855230715
15,-0.3710897654931386,-0.3780639691435144
16,-0.35707685683752843,-0.3643467746262989
17,-0.3449275221068467,-0.3522543320986703
18,-0.3328177457896089,-0.3411353132429993
19,-0.3208889635466354,-0.32991006870679596
20,-0.31161128297681073,-0.3208594515358071
21,-0.30387961973471783,-0.31327514003472834
22,-0.2950339571714244,-0.30477035646079165
23,-0.287974270978572,-0.2982388637820866
24,-0.2818477620257577,-0.2928492165485206
25,-0.2764620273629559,-0.2878578994928342
26,-0.26983031733873925,-0.2817736038148886
27,-0.26451684844426504,-0.2768028181344113
28,-0.2579419248092023,-0.27052784940229835
29,-0.25352006815513317,-0.26652139339198444
30,-0.2483746078557276,-0.26193403920559616
31,-0.2431584010603948,-0.2567726664662403
32,-0.2391917098178249,-0.25311446987688224
33,-0.2345293351434652,-0.24855239830541123
34,-0.23081064362111983,-0.2451040517196306
35,-0.22717922426524548,-0.24175371826429862
36,-0.223770406981544,-0.23864958932089864
37,-0.22057407284251854,-0.23553230309830706
38,-0.216271178083951,-0.23181793008651813
39,-0.21348812903610478,-0.22929579575912512
40,-0.21007488293002863,-0.226181648364576
41,-0.20757191031591693,-0.22388344576930697
42,-0.2056918250532032,-0.22223313168011405
43,-0.2028859439210758,-0.21975504843942628
44,-0.2004171119376972,-0.21753544553815163
45,-0.19760158485910326,-0.21476469883073926
46,-0.1953982385613121,-0.2129725785102589
47,-0.19269390502311587,-0.2107995205590657
48,-0.18998812387631173,-0.20855893480731552
49,-0.18799698840078521,-0.2068045234209889
